"","a1","g6","rho","beta2","g2","Ze_1.0","Ze_2.0","Ze_3.0","P1","P2","P3","P4","P1_1.0","P2_1.0","P3_1.0","P4_1.0","P1_2.0","P2_2.0","P3_2.0","P4_2.0","P1_3.0","P2_3.0","P3_3.0","P4_3.0"
"147",-1.5,1,-0.75,1.5,1,0.1801875,0.4743141,0.000140199999999924,3,4,1,2,4,3,1,2,2,4,1,3,3,4,1,2
"148",-1.5,1,-0.2,-1.5,1,0.0492605999999999,0.0725983,-0.000281599999999882,3,1,2,4,3,1,2,4,3,1,2,4,3,1,2,4
"149",-1.5,1,-0.2,-1,1,0.1101449,0.2338031,-0.000223900000000055,3,2,1,4,3,2,1,4,3,2,1,4,3,2,1,4
"150",-1.5,1,-0.2,-0.5,1,0.1538303,0.3527207,4.49999999999617e-05,2,3,1,4,3,2,1,4,3,2,1,4,2,3,1,4
"151",-1.5,1,-0.2,0,1,0.17618,0.4231629,0.000153500000000029,3,4,1,2,4,2,1,3,2,3,1,4,3,4,1,2
"152",-1.5,1,-0.2,0.5,1,0.1844187,0.4625847,-6.97999999998977e-05,3,4,1,2,4,3,1,2,2,4,1,3,3,4,1,2
"153",-1.5,1,-0.2,1,1,0.1842966,0.4763177,2.84000000000395e-05,3,4,1,2,4,3,1,2,2,4,1,3,3,4,1,2
"154",-1.5,1,-0.2,1.5,1,0.1796207,0.474699,4.82000000000538e-05,3,4,1,2,4,3,1,2,2,4,1,3,3,4,1,2
"155",-1.5,1,0.2,-1.5,1,0.0494064999999999,0.072617,-0.00022029999999984,3,1,2,4,3,1,2,4,3,1,2,4,3,1,2,4
"156",-1.5,1,0.2,-1,1,0.1105552,0.2333588,-0.000431900000000041,3,2,1,4,3,2,1,4,3,2,1,4,3,2,1,4
"157",-1.5,1,0.2,-0.5,1,0.1538182,0.3527283,-0.000190999999999941,3,2,1,4,3,2,1,4,3,2,1,4,2,3,1,4
