"","a1","g6","rho","beta2","P1","P2","P3","P4","P1_1.0","P2_1.0","P3_1.0","P4_1.0","Ze_1.0","P1_2.0","P2_2.0","P3_2.0","P4_2.0","Ze_2.0","P1_3.0","P2_3.0","P3_3.0","P4_3.0","Ze_3.0"
"Ys0...56",-1.5,1,-0.2,1.5,0.149062,0.2619915,-0.5104817,0.00174849999999993,0.149062,0.0138919,-0.461054,0.00174849999999993,0.1986719,-0.1105589,0.0138919,-0.461054,-0.0189686,0.4790839,0.1492232,0.2502905,-0.4988887,0.00175789999999998,-6.26000000000237e-05
"Ys0...57",-1.5,1,0.2,-1.5,0.0537268,-0.2653789,-0.0683033000000001,0.2846885,0.0537268,-0.3043002,-0.0734659,0.2846885,0.0440839,0.0783902,-0.3043002,-0.0734659,0.2567326,0.0472901,0.0540195,-0.2648609,-0.0687303,0.2844686,-0.000163800000000047
"Ys0...58",-1.5,1,0.2,-1,0.1025441,-0.140784,-0.1705305,0.1947589,0.1025441,-0.2379509,-0.1779524,0.1947589,0.1045888,0.0296275,-0.2379509,-0.1779524,0.1783099,0.1940307,0.1026219,-0.1347697,-0.1764852,0.1949578,-0.000336299999999956
"Ys0...59",-1.5,1,0.2,1,0.1528644,0.2102005,-0.4602573,0.00708730000000002,0.1528644,-0.013551,-0.4393924,0.00708730000000002,0.2028866,-0.0970249,-0.013551,-0.4393924,-0.0183412000000001,0.4777151,0.1528071,0.2219403,-0.4720153,0.00745989999999996,-0.00029710000000005
"Ys0...60",-1.5,1,0.2,1.5,0.1493351,0.2392763,-0.4881083,0.00157300000000005,0.1493351,0.0139182,-0.4614116,0.00157300000000005,0.1986614,-0.1107357,0.0139182,-0.4614116,-0.0192753,0.4792108,0.1492375,0.2503066,-0.4989158,0.00165689999999996,-0.000209099999999962
"Ys0...61",-1.5,1,0.75,-1.5,0.0539921,-0.2676375,-0.0662008000000001,0.2846593,0.0539921,-0.304274,-0.0736245999999999,0.2846593,0.0440602999999999,0.0783993000000001,-0.304274,-0.0736245999999999,0.2564113,0.0477065999999999,0.0542926,-0.2649152,-0.0691619999999999,0.2845689,2.879999999994e-05
"Ys0...62",-1.5,1,0.75,-1,0.1023618,-0.1581228,-0.1530083,0.1950444,0.1023618,-0.2381291,-0.1781833,0.1950444,0.1051813,0.0297176,-0.2381291,-0.1781833,0.1781786,0.1944319,0.1029351,-0.1348381,-0.1765971,0.1950178,-0.000242599999999982
"Ys0...63",-1.5,1,0.75,1,0.1528576,0.1839178,-0.4338993,0.00720199999999993,0.1528576,-0.0132289,-0.4393788,0.00720199999999993,0.2026262,-0.0972635,-0.0132289,-0.4393788,-0.0185717,0.4781609,0.1528772,0.2217862,-0.4719533,0.00753809999999999,-0.000170099999999951
"Ys0...64",-1.5,1,0.75,1.5,0.1493242,0.2163957,-0.4651851,0.00145669999999998,0.1493242,0.0137196,-0.4612125,0.00145669999999998,0.1987035,-0.1104104,0.0137196,-0.4612125,-0.019174,0.4789306,0.1495864,0.250251,-0.4990651,0.00163819999999992,-0.000418999999999947
"Ys0...65",-1.5,1.5,-0.75,-1.5,0.058484,-0.2302503,-0.0930467,0.3334988,0.058484,-0.3030513,-0.0712711,0.3334988,0.0510253999999999,0.0698874,-0.3030513,-0.0712711,0.2503244,0.1228527,0.0584379,-0.2432583,-0.0798036999999999,0.333714,-0.000404100000000129
"Ys0...66",-1.5,1.5,-0.75,-1,0.0804402000000001,-0.00309840000000006,-0.2397138,0.2511008,0.0804402000000001,-0.1934447,-0.1733473,0.2511008,0.1239798,0.00575629999999999,-0.1934447,-0.1733473,0.1732535,0.2764772,0.0800911000000001,-0.0449565000000001,-0.1978408,0.2512536,0.000181399999999998
"Ys0...67",-1.5,1.5,-0.75,1,0.0735281,0.4702521,-0.5787505,0.0296448,0.0735281,0.1016386,-0.4058869,0.0296448,0.1957499,-0.1430059,0.1016386,-0.4058869,-0.0226019999999999,0.4645422,0.0734317,0.3885826,-0.4968484,0.0293539,0.000154699999999952
"Ys0...68",-1.5,1.5,-0.75,1.5,0.066118,0.5056838,-0.6071821,0.0193101999999999,0.066118,0.1328025,-0.424199,0.0193101999999999,0.1898982,-0.1550254,0.1328025,-0.424199,-0.0212045,0.4518217,0.0659974,0.4232931,-0.5249387,0.0198452,-0.000267099999999965
"Ys0...69",-1.5,1.5,-0.2,-1.5,0.0582667,-0.2391678,-0.0838835,0.3336145,0.0582667,-0.303068,-0.0712347,0.3336145,0.0512513999999999,0.0698618,-0.303068,-0.0712347,0.2502484,0.1228822,0.0586285000000001,-0.2434166,-0.0797422000000001,0.3334604,-0.000100199999999995
"Ys0...70",-1.5,1.5,-0.2,-1,0.0805115000000001,-0.0331129,-0.2100442,0.2509358,0.0805115000000001,-0.1932845,-0.1736541,0.2509358,0.1237815,0.00574770000000002,-0.1932845,-0.1736541,0.1736677,0.2756671,0.0801697,-0.0449025000000001,-0.197685,0.2511116,-0.000403599999999948
"Ys0...71",-1.5,1.5,-0.2,1,0.0733777999999999,0.4089859,-0.5174073,0.0296147,0.0733777999999999,0.1019922,-0.4058904,0.0296147,0.1954768,-0.1433057,0.1019922,-0.4058904,-0.0226263999999999,0.4645456,0.0734735,0.3884734,-0.4969013,0.0295129000000001,1.25999999999182e-05
"Ys0...72",-1.5,1.5,-0.2,1.5,0.0661039000000001,0.4432272,-0.5447292,0.0193192000000001,0.0661039000000001,0.1328689,-0.4240597,0.0193192000000001,0.1896888,-0.1549921,0.1328689,-0.4240597,-0.0211897,0.4515776,0.0658409,0.4233905,-0.5249804,0.0194254,0.000244700000000098
