"","X","a1","g6","rho","beta2","Ze_1.0","Ze_2.0","Ze_3.0","P1","P2","P3","P4","P1_1.0","P2_1.0","P3_1.0","P4_1.0","P1_2.0","P2_2.0","P3_2.0","P4_2.0","P1_3.0","P2_3.0","P3_3.0","P4_3.0"
"99",99,-0.5,-1.25,-0.75,1,-0.000498500000000068,0.00378960000000006,4.53000000000259e-05,4,1,3,2,4,1,2,3,4,1,2,3,4,1,2,3
"100",100,-0.5,-1.25,-0.75,1.5,-0.000502000000000002,0.00556410000000007,4.01000000000984e-05,4,1,3,2,4,1,2,3,4,1,2,3,4,1,2,3
"101",101,-0.5,-1.25,-0.2,-1.5,-0.000184400000000084,-0.010784,5.79999999994474e-06,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"102",102,-0.5,-1.25,-0.2,-1,-0.000252499999999878,-0.00819669999999995,1.66999999999806e-05,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"103",103,-0.5,-1.25,-0.2,1,-0.000442000000000053,0.00378990000000001,4.61999999999962e-05,4,1,3,2,4,1,2,3,4,1,2,3,4,1,2,3
"104",104,-0.5,-1.25,-0.2,1.5,-0.000435999999999992,0.00556780000000012,4.07000000001156e-05,4,1,3,2,4,1,2,3,4,1,2,3,4,1,2,3
"105",105,-0.5,-1.25,0.2,-1.5,-3.50999999999546e-05,-0.0108582,-5.01000000000529e-05,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"106",106,-0.5,-1.25,0.2,-1,-0.000165099999999918,-0.00826749999999998,-4.07000000000046e-05,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"107",107,-0.5,-1.25,0.2,1,-0.000404600000000088,0.0037332000000001,-8.59999999991423e-06,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"108",108,-0.5,-1.25,0.2,1.5,-0.000404600000000088,0.00550759999999995,-1.47999999999815e-05,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"109",109,-0.5,-1.25,0.75,-1.5,-4.02000000000458e-05,-0.0108465,-4.21000000000449e-05,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"110",110,-0.5,-1.25,0.75,-1,-0.000133699999999903,-0.00825979999999993,-3.26999999999966e-05,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"111",111,-0.5,-1.25,0.75,1,-0.000348100000000184,0.00373350000000006,-7.69999999994386e-06,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"112",112,-0.5,-1.25,0.75,1.5,-0.000338599999999967,0.0055113,-1.41999999999642e-05,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"113",113,-0.5,-0.5,-0.75,-1.5,-0.000107500000000038,-0.00930569999999997,3.74000000000763e-05,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"114",114,-0.5,-0.5,-0.75,-1,-0.000188000000000188,-0.0072004,5.10000000000232e-05,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"115",115,-0.5,-0.5,-0.75,1,-0.000379299999999971,0.00270480000000006,6.00999999998963e-05,4,1,3,2,4,1,2,3,4,1,2,3,4,1,2,3
"116",116,-0.5,-0.5,-0.75,1.5,-0.000381100000000023,0.00420510000000007,6.58000000000047e-05,4,1,3,2,4,1,2,3,4,1,2,3,4,1,2,3
"117",117,-0.5,-0.5,-0.2,-1.5,-0.0001023,-0.00929219999999997,4.61000000000489e-05,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"118",118,-0.5,-0.5,-0.2,-1,-0.000154600000000116,-0.00719049999999999,6.01999999999547e-05,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"119",119,-0.5,-0.5,-0.2,1,-0.000330500000000011,0.00270599999999999,6.19999999998955e-05,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"120",120,-0.5,-0.5,-0.2,1.5,-0.000324099999999938,0.00420940000000003,6.74999999999981e-05,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"121",121,-0.5,-0.5,0.2,-1.5,2.36999999998488e-05,-0.00937909999999986,-2.12999999998909e-05,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"122",122,-0.5,-0.5,0.2,-1,-7.80000000000225e-05,-0.0072759,-1.00000000000655e-05,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"123",123,-0.5,-0.5,0.2,1,-0.000284000000000062,0.00263750000000007,-4.00000000011502e-06,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"124",124,-0.5,-0.5,0.2,1.5,-0.000280600000000075,0.00413849999999993,7.99999999911982e-07,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"125",125,-0.5,-0.5,0.75,-1.5,2.88999999999984e-05,-0.00936559999999997,-1.25999999999182e-05,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"126",126,-0.5,-0.5,0.75,-1,-4.46000000000613e-05,-0.00726599999999999,-8.00000000023005e-07,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"127",127,-0.5,-0.5,0.75,1,-0.000235199999999991,0.00263869999999999,-2.1000000001159e-06,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"128",128,-0.5,-0.5,0.75,1.5,-0.00022359999999999,0.00414279999999989,2.49999999990536e-06,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"129",129,-0.5,-0.25,-0.75,-1.5,-9.25999999999982e-05,-0.0090399000000001,1.82999999999156e-05,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"130",130,-0.5,-0.25,-0.75,-1,-0.00017109999999998,-0.0070384,3.19000000000846e-05,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"131",131,-0.5,-0.25,-0.75,1,-0.000354499999999813,0.00247509999999995,4.56999999999264e-05,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"132",132,-0.5,-0.25,-0.75,1.5,-0.000355999999999801,0.00390299999999999,4.57999999999847e-05,4,1,3,2,4,1,2,3,4,1,2,3,4,1,2,3
"133",133,-0.5,-0.25,-0.2,-1.5,-9.45999999999447e-05,-0.00902540000000007,2.64999999999294e-05,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"134",134,-0.5,-0.25,-0.2,-1,-0.000145899999999921,-0.00702729999999996,4.0800000000063e-05,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"135",135,-0.5,-0.25,-0.2,1,-0.00030399999999986,0.00247819999999999,4.75999999999255e-05,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"136",136,-0.5,-0.25,-0.2,1.5,-0.000298499999999868,0.00390899999999994,4.72999999999724e-05,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"137",137,-0.5,-0.25,0.2,-1.5,2.08999999999904e-05,-0.0091116,-3.94000000000228e-05,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"138",138,-0.5,-0.25,0.2,-1,-7.81999999999172e-05,-0.00711139999999999,-2.78999999999696e-05,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"139",139,-0.5,-0.25,0.2,1,-0.000282599999999911,0.00240980000000002,-1.77000000000094e-05,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"140",140,-0.5,-0.25,0.2,1.5,-0.000278599999999796,0.00383840000000002,-1.8399999999974e-05,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"141",141,-0.5,-0.25,0.75,-1.5,1.88999999999329e-05,-0.00909710000000008,-3.120000000012e-05,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"142",142,-0.5,-0.25,0.75,-1,-5.29999999999697e-05,-0.00710030000000006,-1.89999999999912e-05,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"143",143,-0.5,-0.25,0.75,1,-0.000232099999999957,0.00241290000000005,-1.58000000000103e-05,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"144",144,-0.5,-0.25,0.75,1.5,-0.000221099999999863,0.00384439999999997,-1.68999999999864e-05,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"145",145,-0.5,0.25,-0.75,-1.5,-0.000105500000000092,-0.00859690000000002,2.21999999999722e-05,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"146",146,-0.5,0.25,-0.75,-1,-0.000194400000000039,-0.00674249999999998,3.20999999999794e-05,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"147",147,-0.5,0.25,-0.75,1,-0.000346599999999975,0.00221389999999999,7.34000000000012e-05,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"148",148,-0.5,0.25,-0.75,1.5,-0.000348700000000091,0.00355719999999993,6.91999999999915e-05,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"149",149,-0.5,0.25,-0.2,-1.5,-0.000122400000000189,-0.00858219999999998,2.97999999999687e-05,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"150",150,-0.5,0.25,-0.2,-1,-0.000182400000000027,-0.00673179999999995,4.04999999999989e-05,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"151",151,-0.5,0.25,-0.2,1,-0.000313400000000019,0.00221660000000001,7.5200000000053e-05,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"152",152,-0.5,0.25,-0.2,1.5,-0.000308899999999945,0.00356259999999997,7.06000000000317e-05,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"153",153,-0.5,0.25,0.2,-1.5,-1.57000000000629e-05,-0.00867399999999996,-3.81999999999882e-05,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"154",154,-0.5,0.25,0.2,-1,-0.000125900000000123,-0.0068184,-2.92000000000625e-05,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"155",155,-0.5,0.25,0.2,1,-0.00030220000000003,0.00214669999999995,9.90000000000713e-06,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"156",156,-0.5,0.25,0.2,1.5,-0.00029800000000002,0.00349080000000002,4.90000000008539e-06,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"157",157,-0.5,0.25,0.75,-1.5,-3.26000000000493e-05,-0.00865929999999993,-3.05999999999917e-05,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"158",158,-0.5,0.25,0.75,-1,-0.0001139,-0.00680769999999997,-2.0800000000043e-05,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"159",159,-0.5,0.25,0.75,1,-0.000269000000000075,0.00214940000000008,1.17000000000589e-05,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
