"","a1","g6","rho","beta2","P1","P2","P3","P4","P1_1.0","P2_1.0","P3_1.0","P4_1.0","Ze_1.0","diff_P2_1.0","P1_2.0","P2_2.0","P3_2.0","P4_2.0","Ze_2.0","diff_P2_2.0","P1_3.0","P2_3.0","P3_3.0","P4_3.0","Ze_3.0","diff_P2_3.0"
"Ys0...199",0.5,0,-0.2,1,0.0161507999999999,-0.0138811999999999,0.0244329999999999,0.0336558,0.0161507999999999,0.00209119999999996,0.00580049999999999,0.0336558,0.00266010000000005,-0.0159723999999999,0.00940569999999996,0.00209119999999996,0.00580049999999999,0.0330171,0.0100743999999999,-0.0159723999999999,0.0162623000000001,-0.0111386,0.0214611,0.0337483,2.52999999998949e-05,-0.00274259999999993
"Ys0...200",0.5,0,-0.2,1.5,0.0160555,-0.0140705,0.0245298,0.0291068999999999,0.0160555,0.00211170000000005,0.00582879999999997,0.0291068999999999,0.00251880000000004,-0.0161822,0.00903540000000003,0.00211170000000005,0.00582879999999997,0.0246033999999999,0.0140787,-0.0161822,0.0159836999999999,-0.0112478,0.0216622000000001,0.029273,-4.93999999999772e-05,-0.00282269999999996
"Ys0...201",0.5,0,0.2,-1.5,0.024085,0.000715899999999992,0.00820650000000001,0.1740821,0.024085,0.0052181,0.00259569999999998,0.1740821,0.00110860000000002,-0.00450220000000001,0.0232911,0.0052181,0.00259569999999998,0.212904,-0.0368628,-0.00450220000000001,0.0241567,-0.000581200000000059,0.00945090000000004,0.1740105,5.26000000000693e-05,0.00129710000000005
"Ys0...202",0.5,0,0.2,-1,0.0205537,-0.00349880000000002,0.0132185,0.1213436,0.0205537,0.00376579999999993,0.0041945000000001,0.1213436,0.00175939999999997,-0.00726459999999995,0.0169118,0.00376579999999993,0.0041945000000001,0.1555874,-0.0288069,-0.00726459999999995,0.0206313,-0.00555079999999997,0.0152334,0.1213786,-7.55000000000061e-05,0.00205199999999994
"Ys0...203",0.5,0,0.2,1,0.0162424,-0.00815520000000003,0.0186349,0.0336352,0.0162424,0.00209150000000002,0.00585439999999993,0.0336352,0.00253380000000003,-0.0102467000000001,0.00937069999999995,0.00209150000000002,0.00585439999999993,0.0332211,0.0099051,-0.0102467000000001,0.0161976,-0.0110526000000001,0.021479,0.0336881999999999,4.51000000000201e-05,0.00289740000000005
"Ys0...204",0.5,0,0.2,1.5,0.0160938,-0.00831040000000005,0.0187451000000001,0.0291610999999999,0.0160938,0.00205300000000008,0.00584459999999998,0.0291610999999999,0.00253709999999996,-0.0103634000000001,0.00909719999999992,0.00205300000000008,0.00584459999999998,0.0245428,0.0141438,-0.0103634000000001,0.0159776,-0.0111698,0.0217153999999999,0.0291606,5.80000000005576e-06,0.00285939999999996
"Ys0...205",0.5,0,0.75,-1.5,0.0240644,0.00414139999999996,0.0048125,0.1740821,0.0240644,0.00514210000000004,0.0025544999999999,0.1740821,0.00125730000000002,-0.00100070000000008,0.0233737000000001,0.00514210000000004,0.0025544999999999,0.212904,-0.0368585000000001,-0.00100070000000008,0.0241567,-0.000581200000000059,0.00945090000000004,0.1740105,6.34999999999941e-05,0.00472260000000002
"Ys0...206",0.5,0,0.75,-1,0.0205455,0.00205580000000005,0.00768420000000003,0.1213436,0.0205455,0.0037315,0.00416960000000011,0.1213436,0.00183889999999998,-0.00167569999999995,0.0169515,0.0037315,0.00416960000000011,0.1555874,-0.0288001999999999,-0.00167569999999995,0.0206313,-0.00555079999999997,0.0152334,0.1213786,-6.33999999999357e-05,0.00760660000000002
"Ys0...207",0.5,0,0.75,1,0.0161574,-0.000174499999999966,0.0107689,0.0336352,0.0161574,0.00208299999999995,0.00579999999999992,0.0336352,0.00271140000000014,-0.00225749999999991,0.00937779999999999,0.00208299999999995,0.00579999999999992,0.0332211,0.00993620000000006,-0.00225749999999991,0.0161976,-0.0110526000000001,0.021479,0.0336881999999999,7.48000000000415e-05,0.0108781000000001
"Ys0...208",0.5,0,0.75,1.5,0.0160162,-0.000351400000000002,0.0108866,0.0291444000000001,0.0160162,0.00191350000000001,0.00580979999999998,0.0291444000000001,0.00281189999999998,-0.00226490000000001,0.00912479999999993,0.00191350000000001,0.00580979999999998,0.0247285,0.0140380000000001,-0.00226490000000001,0.0159667,-0.0112122,0.0217242999999999,0.0292853000000001,-6.82999999999101e-05,0.0108608
