"","a1","g6","rho","beta2","g2","Ze_1.0","Ze_2.0","Ze_3.0","P1","P2","P3","P4","P1_1.0","P2_1.0","P3_1.0","P4_1.0","P1_2.0","P2_2.0","P3_2.0","P4_2.0","P1_3.0","P2_3.0","P3_3.0","P4_3.0"
"56",-1.5,1,0.75,1.5,-1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,4,2,1,3
"57",-1.5,1,-0.75,-1.5,-0.5,-0.000353099999999995,0.00885399999999992,0.000138599999999989,3,2,1,4,3,2,1,4,3,2,1,4,3,2,1,4
"58",-1.5,1,-0.75,-1,-0.5,-0.000641900000000084,0.00606190000000006,0.000180199999999964,3,2,1,4,3,2,1,4,3,2,1,4,3,2,1,4
"59",-1.5,1,-0.75,-0.5,-0.5,-0.000800100000000081,0.00286650000000011,5.08000000000175e-05,3,2,1,4,3,2,1,4,4,2,1,3,3,2,1,4
"60",-1.5,1,-0.75,0,-0.5,-0.000905299999999998,-0.000370399999999993,3.93000000000754e-05,4,2,1,3,4,2,1,3,4,2,1,3,4,2,1,3
"61",-1.5,1,-0.75,0.5,-0.5,-0.000970400000000038,-0.00304480000000007,7.68999999999354e-05,4,2,1,3,4,2,1,3,4,2,1,3,4,2,1,3
"62",-1.5,1,-0.75,1,-0.5,-0.0010479000000001,-0.00524329999999995,3.01000000000329e-05,4,2,1,3,4,2,1,3,4,2,1,3,4,2,1,3
"63",-1.5,1,-0.75,1.5,-0.5,-0.00106340000000005,-0.00681239999999994,-7.89999999994961e-06,4,2,1,3,4,2,1,3,4,2,1,3,4,2,1,3
"64",-1.5,1,-0.2,-1.5,-0.5,-0.000410000000000021,0.00885239999999998,0.000148000000000037,3,2,1,4,3,2,1,4,3,2,1,4,3,2,1,4
"65",-1.5,1,-0.2,-1,-0.5,-0.000684000000000018,0.00604309999999997,0.000178099999999959,3,2,1,4,3,2,1,4,3,2,1,4,3,2,1,4
"66",-1.5,1,-0.2,-0.5,-0.5,-0.000800899999999993,0.00285040000000003,5.02999999999476e-05,3,2,1,4,3,2,1,4,4,2,1,3,3,2,1,4
"67",-1.5,1,-0.2,0,-0.5,-0.000860199999999978,-0.000386100000000056,3.62000000000418e-05,4,2,1,3,4,2,1,3,4,2,1,3,4,2,1,3
"68",-1.5,1,-0.2,0.5,-0.5,-0.000943000000000027,-0.00307040000000003,6.34999999999941e-05,4,2,1,3,4,2,1,3,4,2,1,3,4,2,1,3
"69",-1.5,1,-0.2,1,-0.5,-0.00100060000000002,-0.00526989999999994,1.79000000000151e-05,4,2,1,3,4,2,1,3,4,2,1,3,4,2,1,3
"70",-1.5,1,-0.2,1.5,-0.5,-0.00103580000000014,-0.00684279999999993,-2.18999999999081e-05,4,2,1,3,4,2,1,3,4,2,1,3,4,2,1,3
"71",-1.5,1,0.2,-1.5,-0.5,-0.000418000000000029,0.00886819999999999,0.000160099999999996,3,2,1,4,3,2,1,4,3,2,1,4,3,2,1,4
"72",-1.5,1,0.2,-1,-0.5,-0.000657399999999919,0.00607330000000006,0.000202499999999994,3,2,1,4,3,2,1,4,3,2,1,4,3,2,1,4
"73",-1.5,1,0.2,-0.5,-0.5,-0.000781699999999996,0.00288510000000008,7.80000000000225e-05,3,2,1,4,3,2,1,4,4,2,1,3,3,2,1,4
"74",-1.5,1,0.2,0,-0.5,-0.000835099999999978,-0.000354500000000035,6.28000000000295e-05,4,2,1,3,4,2,1,3,4,2,1,3,4,2,1,3
"75",-1.5,1,0.2,0.5,-0.5,-0.000916699999999993,-0.00303469999999995,9.40999999999859e-05,4,2,1,3,4,2,1,3,4,2,1,3,4,2,1,3
"76",-1.5,1,0.2,1,-0.5,-0.000981100000000068,-0.0052297,5.14999999999821e-05,4,2,1,3,4,2,1,3,4,2,1,3,4,2,1,3
"77",-1.5,1,0.2,1.5,-0.5,-0.00101420000000019,-0.00679799999999997,1.49000000000399e-05,4,2,1,3,4,2,1,3,4,2,1,3,4,2,1,3
"78",-1.5,1,0.75,-1.5,-0.5,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,3,2,1,4
"79",-1.5,1,0.75,-1,-0.5,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,3,2,1,4
"80",-1.5,1,0.75,-0.5,-0.5,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,3,2,1,4
"81",-1.5,1,0.75,0,-0.5,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,4,2,1,3
"82",-1.5,1,0.75,0.5,-0.5,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,4,2,1,3
"83",-1.5,1,0.75,1,-0.5,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,4,2,1,3
"84",-1.5,1,0.75,1.5,-0.5,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,4,2,1,3
"85",-1.5,1,-0.75,-1.5,0,-5.36999999999344e-05,0.0023706,0.000145400000000073,3,1,2,4,3,1,2,4,4,1,2,3,3,1,2,4
"86",-1.5,1,-0.75,-1,0,-0.000136000000000025,0.00135799999999997,0.00016129999999992,4,2,1,3,4,2,1,3,4,2,1,3,4,2,1,3
"87",-1.5,1,-0.75,-0.5,0,-0.000196699999999828,0.000244400000000033,7.93000000000044e-05,4,2,1,3,4,2,1,3,4,2,1,3,4,2,1,3
"88",-1.5,1,-0.75,0,0,-0.000187599999999954,-0.00095590000000001,5.25999999999582e-05,4,2,1,3,4,2,1,3,4,2,1,3,4,2,1,3
"89",-1.5,1,-0.75,0.5,0,-0.000218900000000022,-0.00174340000000006,6.41000000000114e-05,4,2,1,3,4,2,1,3,4,2,1,3,4,2,1,3
"90",-1.5,1,-0.75,1,0,-0.00025760000000008,-0.00241020000000014,7.08999999999849e-05,4,2,1,3,4,2,1,3,4,2,1,3,4,2,1,3
"91",-1.5,1,-0.75,1.5,0,-0.000253300000000012,-0.00285900000000006,5.03000000000586e-05,4,2,1,3,4,2,1,3,4,2,1,3,4,2,1,3
"92",-1.5,1,-0.2,-1.5,0,-0.000156699999999899,0.00232330000000003,0.000127100000000047,3,1,2,4,3,1,2,4,4,1,2,3,3,1,2,4
"93",-1.5,1,-0.2,-1,0,-0.000242000000000075,0.00130929999999996,0.000142299999999929,4,2,1,3,4,1,2,3,4,1,2,3,4,2,1,3
"94",-1.5,1,-0.2,-0.5,0,-0.000248299999999868,0.000199100000000008,6.4799999999976e-05,4,2,1,3,4,2,1,3,4,2,1,3,4,2,1,3
"95",-1.5,1,-0.2,0,0,-0.00022549999999999,-0.00099719999999992,3.96999999999759e-05,4,2,1,3,4,2,1,3,4,2,1,3,4,2,1,3
"96",-1.5,1,-0.2,0.5,0,-0.000255899999999976,-0.00178889999999998,4.3200000000021e-05,4,2,1,3,4,2,1,3,4,2,1,3,4,2,1,3
"97",-1.5,1,-0.2,1,0,-0.000270500000000173,-0.00245499999999998,5.07000000000701e-05,4,2,1,3,4,2,1,3,4,2,1,3,4,2,1,3
"98",-1.5,1,-0.2,1.5,0,-0.000291099999999989,-0.00290489999999999,2.91000000001151e-05,4,2,1,3,4,2,1,3,4,2,1,3,4,2,1,3
"99",-1.5,1,0.2,-1.5,0,-0.000126699999999924,0.00235790000000002,0.000159600000000037,3,1,2,4,3,1,2,4,4,1,2,3,3,1,2,4
"100",-1.5,1,0.2,-1,0,-0.000191799999999964,0.00135299999999994,0.000183399999999945,4,2,1,3,4,1,2,3,4,1,2,3,4,2,1,3
"101",-1.5,1,0.2,-0.5,0,-0.000194999999999945,0.000240200000000024,0.00010319999999997,4,2,1,3,4,2,1,3,4,2,1,3,4,2,1,3
"102",-1.5,1,0.2,0,0,-0.000171300000000096,-0.000959599999999949,7.44999999999774e-05,4,2,1,3,4,2,1,3,4,2,1,3,4,2,1,3
"103",-1.5,1,0.2,0.5,0,-0.000198699999999885,-0.00174980000000002,7.95000000000101e-05,4,2,1,3,4,2,1,3,4,2,1,3,4,2,1,3
"104",-1.5,1,0.2,1,0,-0.000218500000000121,-0.00241420000000014,8.71000000000066e-05,4,2,1,3,4,2,1,3,4,2,1,3,4,2,1,3
"105",-1.5,1,0.2,1.5,0,-0.000241900000000017,-0.00286189999999997,6.71000000000976e-05,4,2,1,3,4,2,1,3,4,2,1,3,4,2,1,3
"106",-1.5,1,0.75,-1.5,0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,3,1,2,4
"107",-1.5,1,0.75,-1,0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,4,2,1,3
"108",-1.5,1,0.75,-0.5,0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,4,2,1,3
"109",-1.5,1,0.75,0,0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,4,2,1,3
"110",-1.5,1,0.75,0.5,0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,4,2,1,3
"111",-1.5,1,0.75,1,0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,4,2,1,3
"112",-1.5,1,0.75,1.5,0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,4,2,1,3
"113",-1.5,1,-0.75,-1.5,0.5,7.15000000000021e-05,-0.00245739999999994,6.69999999999282e-05,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
"114",-1.5,1,-0.75,-1,0.5,0.000153699999999923,-0.00215370000000004,8.88e-05,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3
