"","a1","g6","rho","beta2","AY","AMY","AZY_ne","AZY_re","AZMY_ne","AZMY_re","Z_e"
"Ys1...159",-0.5,1.5,0.75,1,-0.0562319,-0.0294961,-0.0623261000000001,0.0441049,0.1217354,0.1093505,0.0940461
"Ys1...160",-0.5,1.5,0.75,1.5,-0.0518923,-0.0192824,-0.0782845999999999,0.0386953,0.1374494,0.1185469,0.0980774
"Ys1...161",0.5,-1.5,-0.75,-1.5,-0.135791,0.0698952,0.1103551,0.0178351999999999,-0.0968487,-0.00787800000000005,-0.00354920000000014
"Ys1...162",0.5,-1.5,-0.75,-1,-0.2084607,0.1243461,0.2044417,0.0396212,-0.1703458,-0.00896439999999998,-0.00343909999999992
"Ys1...163",0.5,-1.5,-0.75,1,-0.3508983,0.126561,0.374425,0.086561,-0.3207303,-0.0120357999999999,0.0208305000000001
"Ys1...164",0.5,-1.5,-0.75,1.5,-0.3669967,0.0968230999999999,0.392445,0.0918500999999999,-0.3383241,-0.0136089,0.0241202999999999
"Ys1...165",0.5,-1.5,-0.2,-1.5,-0.1357299,0.0696671000000001,0.0873936000000001,0.0175758,-0.0738224000000001,-0.00784850000000004,-0.00384390000000001
"Ys1...166",0.5,-1.5,-0.2,-1,-0.2083465,0.1240834,0.1655201,0.0397703,-0.1313447,-0.00900609999999991,-0.00341119999999984
"Ys1...167",0.5,-1.5,-0.2,1,-0.3508167,0.126573,0.2868386,0.0865777999999999,-0.2330508,-0.0120707,0.0207193
"Ys1...168",0.5,-1.5,-0.2,1.5,-0.3668488,0.0969883,0.2975919,0.0918874000000001,-0.2434559,-0.0136934999999999,0.0240579000000002
"Ys1...169",0.5,-1.5,0.2,-1.5,-0.1355481,0.0697459,0.0678848,0.0174765,-0.054485,-0.0078994,-0.00382269999999996
"Ys1...170",0.5,-1.5,0.2,-1,-0.2082508,0.1242867,0.1309458,0.039543,-0.0971002,-0.00884989999999997,-0.0031525
"Ys1...171",0.5,-1.5,0.2,1,-0.3503722,0.126623,0.2239783,0.0862653,-0.1707812,-0.0118134,0.0212548
"Ys1...172",0.5,-1.5,0.2,1.5,-0.366634,0.0972592,0.2320639,0.091776,-0.1784092,-0.0134897,0.0246315999999999
"Ys1...173",0.5,-1.5,0.75,-1.5,-0.1355575,0.0696804,0.0388921000000001,0.0177685,-0.0254685,-0.00764999999999993,-0.00330510000000006
"Ys1...174",0.5,-1.5,0.75,-1,-0.2083589,0.1243191,0.0801499,0.0395059000000001,-0.0460992,-0.0087604,-0.0033051999999999
"Ys1...175",0.5,-1.5,0.75,1,-0.3505256,0.1266004,0.1460874,0.0863330999999999,-0.0926447,-0.0117502,0.0211401999999999
"Ys1...176",0.5,-1.5,0.75,1.5,-0.3665705,0.0971203,0.1525604,0.0916522999999999,-0.0988177,-0.0133196999999999,0.0245898999999999
"Ys1...177",0.5,-1,-0.75,-1.5,-0.0455037,0.0123323000000001,0.0372413,-0.0123677,-0.0701859,-0.0143382,0.00623870000000004
"Ys1...178",0.5,-1,-0.75,-1,-0.0695314,0.0426415999999999,0.0843619000000001,-0.00455810000000001,-0.1170082,-0.0229260999999999,0.00516209999999995
"Ys1...179",0.5,-1,-0.75,1,-0.1573581,0.0620554,0.2128871,0.0204070000000001,-0.2306452,-0.0423952,-0.0042300999999999
"Ys1...180",0.5,-1,-0.75,1.5,-0.1708008,0.0520469,0.2323227,0.0252897,-0.2479836,-0.0456356,-0.00468500000000005
"Ys1...181",0.5,-1,-0.2,-1.5,-0.0454302,0.0120341,0.0233532,-0.0124269,-0.0562375000000001,-0.0145169000000001,0.00594050000000002
"Ys1...182",0.5,-1,-0.2,-1,-0.0694856,0.0425732000000001,0.0652252,-0.00446099999999994,-0.0978803,-0.0229583,0.00523580000000012
"Ys1...183",0.5,-1,-0.2,1,-0.1574337,0.0622766,0.1712836,0.0203751000000001,-0.1890429,-0.0424244,-0.00428999999999991
"Ys1...184",0.5,-1,-0.2,1.5,-0.1709039,0.0518509,0.1846397,0.0253957,-0.200076,-0.0456122999999999,-0.00478029999999985
"Ys1...185",0.5,-1,0.2,-1.5,-0.0455835999999999,0.0122976,0.0120066,-0.012329,-0.0447744,-0.0143061,0.00613269999999999
"Ys1...186",0.5,-1,0.2,-1,-0.0695213,0.0426206,0.0465959,-0.00457859999999999,-0.0792684,-0.0228696,0.00522429999999996
"Ys1...187",0.5,-1,0.2,1,-0.157222,0.0622992,0.1309106,0.0200189000000001,-0.1489664,-0.0421535999999999,-0.00407889999999977
"Ys1...188",0.5,-1,0.2,1.5,-0.1705826,0.0521055,0.1409452,0.0251453,-0.1568314,-0.0455325,-0.00450099999999987
